report_date,total_purchase_amt,total_redeem_amt
20140201,64287172,61527060
20140202,57912761,24395720
20140203,84329848,46109194
20140204,83653646,44927333
20140205,209043990,95407704
20140206,227860276,111635336
20140207,578818221,273482213
20140208,358255468,183432237
20140209,341911234,262954049
20140210,647465140,431753411
20140211,818803205,243058162
20140212,763009770,354585919
20140213,626698794,362757986
20140214,490710434,263261899
20140215,255393179,121463693
20140216,331324628,183057224
20140217,706118060,405809267
20140218,593563145,271125324
20140219,408367966,323990451
20140220,478925191,230855410
20140221,353981687,178914448
20140222,282022706,134735118
20140223,337053711,195214052
20140224,656317045,473470156
20140225,563505889,299155352
20140226,680801145,284819682
20140227,672909288,492786036
20140228,428721754,322030204
20140301,362865580,211279011
20140302,276202230,246199417
20140303,505305862,513017360
20140304,524146340,250562978
20140305,454295491,209072753
20140306,561787770,243149884
20140307,380139779,291087220
20140308,243274169,140323202
20140309,244752519,206312503
20140310,497338076,308040624
20140311,430500816,496039886
20140312,377007897,416491268
20140313,346286910,316973542
20140314,315897431,311575572
20140315,287407002,242799048
20140316,269387391,390584547
20140317,339008082,440624592
20140318,435479117,410240726
20140319,359014064,429298917
20140320,365011495,336076380
20140321,282351818,259655286
20140322,191700135,138039412
20140323,167456369,186443311
20140324,313180334,437825259
20140325,314345006,312710515
20140326,272935544,450254233
20140327,266231082,359071642
20140328,225966355,405443946
20140329,160250985,155006056
20140330,205533934,264714811
20140331,398884905,423852634
20140401,453320585,277429358
20140402,355347118,272612066
20140403,363877120,266605457
20140404,251895894,200192637
20140405,202336542,163199682
20140406,129477254,139576683
20140407,196936223,176966561
20140408,354770149,250015131
20140409,383347565,289330278
20140410,386567460,286914864
20140411,237829882,277077434
20140412,177642053,123295320
20140413,208172985,178934722
20140414,309853269,415986984
20140415,428681231,285293076
20140416,387847838,255914640
20140417,355792647,265341592
20140418,239300383,225952909
20140419,268729366,146374940
20140420,191259529,161057781
20140421,301134667,295635256
20140422,285248757,268810141
20140423,313677307,278470936
20140424,318358891,224536754
20140425,220927432,227764292
20140426,151625415,158122962
20140427,146837951,191915377
20140428,324937272,327724735
20140429,330607104,307578349
20140430,260091330,281835975
20140501,193045106,143362755
20140502,125336258,121222064
20140503,185094488,199568043
20140504,303087562,413222034
20140505,370924149,309330781
20140506,318002728,341108696
20140507,417327518,239372999
20140508,392838756,273187499
20140509,281479009,247743971
20140510,287240171,147248328
20140511,182424063,152945581
20140512,325108597,293952908
20140513,275241493,257918375
20140514,305474522,316225442
20140515,313367089,238307643
20140516,231967423,282094916
20140517,170983868,145854372
20140518,164419642,153440019
20140519,259077930,293791406
20140520,453955303,260040720
20140521,297799722,250223726
20140522,344636549,251108485
20140523,249546195,229000787
20140524,160073254,154409868
20140525,166943526,231004758
20140526,344890868,274707572
20140527,299049555,321965845
20140528,276134813,415891684
20140529,320549863,313827800
20140530,226547701,312802179
20140531,146823669,142862063
20140601,183489775,149829253
20140602,158219402,170409506
20140603,270887462,385622582
20140604,274460744,303978838
20140605,380042567,355645445
20140606,301413900,274862067
20140607,187801995,146203577
20140608,302171269,169525332
20140609,366114374,287520152
20140610,354031597,298190025
20140611,327661453,246127540
20140612,332365185,236467885
20140613,216923770,386799040
20140614,181574530,229916191
20140615,166080126,116623756
20140616,387308484,492349489
20140617,270350693,502560223
20140618,335262709,421920230
20140619,338609087,284956260
20140620,251582530,286583065
20140621,177999186,231003775
20140622,147180819,361285652
20140623,232227670,373779624
20140624,245450766,428471509
20140625,264663201,547295931
20140626,297628039,418742109
20140627,264282703,399444352
20140628,153826161,283400236
20140629,158801540,261170799
20140630,334054112,456547794
20140701,384428753,374164541
20140702,384555819,328950951
20140703,297894643,289009780
20140704,211649838,264494550
20140705,169383796,272535138
20140706,199569025,195530758
20140707,272182847,317612569
20140708,224240103,340453063
20140709,278005555,269642881
20140710,283095921,326009240
20140711,208671021,240050748
20140712,177644343,149081488
20140713,179759885,199459990
20140714,254797524,284753279
20140715,334810012,261722182
20140716,394890140,234775948
20140717,253011280,298279385
20140718,208959595,208671287
20140719,210318023,155464283
20140720,176449304,174462836
20140721,378088594,434191479
20140722,243084133,369043423
20140723,265461894,308353077
20140724,277044480,347622431
20140725,181641088,262874791
20140726,128268053,282653341
20140727,151406251,166610652
20140728,371762756,345986909
20140729,228093046,303480103
20140730,209917272,250117716
20140731,191728916,277194379
20140801,374884735,252540858
20140802,189092130,172250225
20140803,173825397,127125217
20140804,330640884,322907524
20140805,394780870,221706539
20140806,288821016,282346594
20140807,247646474,253659514
20140808,233903717,311648757
20140809,160262764,163611708
20140810,259534870,189909225
20140811,331550471,418603336
20140812,258493673,309754858
20140813,261506619,303975517
20140814,257702660,211939431
20140815,244551620,236516007
20140816,215059736,219214339
20140817,149978271,139564084
20140818,298499146,259169016
20140819,266401973,254929877
20140820,308378692,202452782
20140821,251763517,219963356
20140822,246316056,179349206
20140823,141412027,199377531
20140824,130195484,191080151
20140825,309574223,312413411
20140826,306945089,285478563
20140827,302194801,468164147
20140828,245082751,297893861
20140829,267554713,273756380
20140830,199708772,196374134
20140831,275090213,292943033
